District,Area,Area_Type,Primary_Recommendation,Primary_Reason,Rank2_Business,Rank3_Business
Ranchi,Piska More,rural,Digital Skill / IT Training,Graduates + internet access = IT training gap to fill. (Zone: Rural),Diagnostic / Pathology Lab,Pharmacy / Medical Store
Ranchi,Lalpur,rural,Digital Skill / IT Training,Graduates + internet access = IT training gap to fill. (Zone: Rural),Diagnostic / Pathology Lab,Pharmacy / Medical Store
Ranchi,Kanke,industrial,Digital Skill / IT Training,Graduates + internet access = IT training gap to fill. (Zone: Industrial),Diagnostic / Pathology Lab,Pharmacy / Medical Store
Ranchi,Doranda,industrial,Digital Skill / IT Training,Graduates + internet access = IT training gap to fill. (Zone: Industrial),Diagnostic / Pathology Lab,Pharmacy / Medical Store
Ranchi,Hinoo,residential,Pharmacy / Medical Store,Dense + aging population = high medicine demand. (Zone: Residential),Diagnostic / Pathology Lab,Digital Skill / IT Training
Ranchi,Ratu,residential,Pharmacy / Medical Store,Dense + aging population = high medicine demand. (Zone: Residential),Diagnostic / Pathology Lab,Digital Skill / IT Training
Ranchi,Namkum,student,Digital Skill / IT Training,Graduates + internet access = IT training gap to fill. (Zone: Student),Diagnostic / Pathology Lab,Pharmacy / Medical Store
Ranchi,Bariatu,student,Digital Skill / IT Training,Graduates + internet access = IT training gap to fill. (Zone: Student),Diagnostic / Pathology Lab,Pharmacy / Medical Store
Ranchi,Dhurwa,commercial,Real Estate / Rental Agency,Urban growth + income = property rental & buying demand. (Zone: Commercial),Pharmacy / Medical Store,Digital Skill / IT Training
Dhanbad,Jharia,industrial,Logistics / Delivery Hub,E-commerce boom + urban buyers = last-mile delivery gap. (Zone: Industrial),Real Estate / Rental Agency,Mental Health / Counseling Clinic
Dhanbad,Saraidhela,industrial,Logistics / Delivery Hub,E-commerce boom + urban buyers = last-mile delivery gap. (Zone: Industrial),Real Estate / Rental Agency,Mental Health / Counseling Clinic
Dhanbad,Sindri,residential,Pharmacy / Medical Store,Dense + aging population = high medicine demand. (Zone: Residential),Real Estate / Rental Agency,Mental Health / Counseling Clinic
Dhanbad,Katras,residential,Pharmacy / Medical Store,Dense + aging population = high medicine demand. (Zone: Residential),Real Estate / Rental Agency,Mental Health / Counseling Clinic
Dhanbad,Govindpur,commercial,Restaurant / Dhaba,Urban + disposable income = dining out culture. (Zone: Commercial),Logistics / Delivery Hub,Real Estate / Rental Agency
Dhanbad,Nirsa,commercial,Restaurant / Dhaba,Urban + disposable income = dining out culture. (Zone: Commercial),Logistics / Delivery Hub,Real Estate / Rental Agency
Dhanbad,Chirkunda,rural,Real Estate / Rental Agency,Urban growth + income = property rental & buying demand. (Zone: Rural),Mental Health / Counseling Clinic,Logistics / Delivery Hub
Bokaro,Sector 4,industrial,Logistics / Delivery Hub,E-commerce boom + urban buyers = last-mile delivery gap. (Zone: Industrial),Digital Skill / IT Training,Real Estate / Rental Agency
Bokaro,Chas,industrial,Logistics / Delivery Hub,E-commerce boom + urban buyers = last-mile delivery gap. (Zone: Industrial),Digital Skill / IT Training,Real Estate / Rental Agency
Bokaro,Bermo,rural,Digital Skill / IT Training,Graduates + internet access = IT training gap to fill. (Zone: Rural),Real Estate / Rental Agency,Mental Health / Counseling Clinic
Bokaro,Bokaro Thermal,rural,Digital Skill / IT Training,Graduates + internet access = IT training gap to fill. (Zone: Rural),Real Estate / Rental Agency,Mental Health / Counseling Clinic
Bokaro,Gumia,residential,Digital Skill / IT Training,Graduates + internet access = IT training gap to fill. (Zone: Residential),Real Estate / Rental Agency,Mental Health / Counseling Clinic
Bokaro,Chandrapura,residential,Digital Skill / IT Training,Graduates + internet access = IT training gap to fill. (Zone: Residential),Real Estate / Rental Agency,Mental Health / Counseling Clinic
Purbi Singhbhum,Sakchi,industrial,Digital Skill / IT Training,Graduates + internet access = IT training gap to fill. (Zone: Industrial),Pharmacy / Medical Store,Diagnostic / Pathology Lab
Purbi Singhbhum,Bistupur,industrial,Digital Skill / IT Training,Graduates + internet access = IT training gap to fill. (Zone: Industrial),Pharmacy / Medical Store,Diagnostic / Pathology Lab
Purbi Singhbhum,Mango,rural,Digital Skill / IT Training,Graduates + internet access = IT training gap to fill. (Zone: Rural),Pharmacy / Medical Store,Diagnostic / Pathology Lab
Purbi Singhbhum,Parsudih,rural,Digital Skill / IT Training,Graduates + internet access = IT training gap to fill. (Zone: Rural),Pharmacy / Medical Store,Diagnostic / Pathology Lab
Purbi Singhbhum,Ghatshila,residential,Pharmacy / Medical Store,Dense + aging population = high medicine demand. (Zone: Residential),Diagnostic / Pathology Lab,Digital Skill / IT Training
Purbi Singhbhum,Musabani,residential,Pharmacy / Medical Store,Dense + aging population = high medicine demand. (Zone: Residential),Diagnostic / Pathology Lab,Digital Skill / IT Training
Hazaribagh,Barkagaon,rural,Mobile Recharge / Electronics Shop,High mobile users + dense population = accessories & recharge demand. (Zone: Rural),Micro-Finance / FinTech Kiosk,Logistics / Delivery Hub
Hazaribagh,Barhi,rural,Mobile Recharge / Electronics Shop,High mobile users + dense population = accessories & recharge demand. (Zone: Rural),Micro-Finance / FinTech Kiosk,Logistics / Delivery Hub
Hazaribagh,Ichak,industrial,Logistics / Delivery Hub,E-commerce boom + urban buyers = last-mile delivery gap. (Zone: Industrial),Mobile Recharge / Electronics Shop,Micro-Finance / FinTech Kiosk
Hazaribagh,Chauparan,industrial,Logistics / Delivery Hub,E-commerce boom + urban buyers = last-mile delivery gap. (Zone: Industrial),Mobile Recharge / Electronics Shop,Micro-Finance / FinTech Kiosk
Hazaribagh,Bishnugarh,student,Cloud Kitchen / Tiffin Service,Working youth + mobiles = online food order demand. (Zone: Student),Mobile Recharge / Electronics Shop,Micro-Finance / FinTech Kiosk
Deoghar,Jasidih,rural,Tea Stall / Chai Franchise,High footfall + labour = scalable low-investment chai business. (Zone: Rural),Mobile Recharge / Electronics Shop,Vocational Trade School
Deoghar,Madhupur,rural,Tea Stall / Chai Franchise,High footfall + labour = scalable low-investment chai business. (Zone: Rural),Mobile Recharge / Electronics Shop,Vocational Trade School
Deoghar,Satsang Nagar,industrial,Tea Stall / Chai Franchise,High footfall + labour = scalable low-investment chai business. (Zone: Industrial),Mobile Recharge / Electronics Shop,Vocational Trade School
Deoghar,Castairs Town,industrial,Tea Stall / Chai Franchise,High footfall + labour = scalable low-investment chai business. (Zone: Industrial),Mobile Recharge / Electronics Shop,Vocational Trade School
Deoghar,Sarath,student,Cloud Kitchen / Tiffin Service,Working youth + mobiles = online food order demand. (Zone: Student),Tea Stall / Chai Franchise,Mobile Recharge / Electronics Shop
Giridih,Bengabad,rural,Dairy / Milk Distribution,Rural livestock households = raw milk supply chain opportunity. (Zone: Rural),Mobile Recharge / Electronics Shop,Tea Stall / Chai Franchise
Giridih,Dumri,rural,Dairy / Milk Distribution,Rural livestock households = raw milk supply chain opportunity. (Zone: Rural),Mobile Recharge / Electronics Shop,Tea Stall / Chai Franchise
Giridih,Gandey,student,Stationery / Printing Shop,Student-dense areas = constant stationery & printing demand. (Zone: Student),Cloud Kitchen / Tiffin Service,Mobile Recharge / Electronics Shop
Giridih,Jamua,student,Stationery / Printing Shop,Student-dense areas = constant stationery & printing demand. (Zone: Student),Cloud Kitchen / Tiffin Service,Mobile Recharge / Electronics Shop
Giridih,Pirtand,industrial,Tea Stall / Chai Franchise,High footfall + labour = scalable low-investment chai business. (Zone: Industrial),Mobile Recharge / Electronics Shop,Cloud Kitchen / Tiffin Service
Palamu,Daltonganj,rural,Cold Storage / Agri Warehouse,Perishable farm produce + lack of storage = high-value gap. (Zone: Rural),Dairy / Milk Distribution,Tea Stall / Chai Franchise
Palamu,Chainpur,rural,Cold Storage / Agri Warehouse,Perishable farm produce + lack of storage = high-value gap. (Zone: Rural),Dairy / Milk Distribution,Tea Stall / Chai Franchise
Palamu,Lesliganj,student,Tea Stall / Chai Franchise,High footfall + labour = scalable low-investment chai business. (Zone: Student),Mobile Recharge / Electronics Shop,Vocational Trade School
Palamu,Panki,student,Tea Stall / Chai Franchise,High footfall + labour = scalable low-investment chai business. (Zone: Student),Mobile Recharge / Electronics Shop,Vocational Trade School
Palamu,Satbarwa,industrial,Tea Stall / Chai Franchise,High footfall + labour = scalable low-investment chai business. (Zone: Industrial),Mobile Recharge / Electronics Shop,Vocational Trade School
Garhwa,Bhavnathpur,rural,Agri-Input / Kisan Store,"Dominant farming community = seeds, tools, fertilizer demand. (Zone: Rural)",Cold Storage / Agri Warehouse,Dairy / Milk Distribution
Garhwa,Kandi,rural,Agri-Input / Kisan Store,"Dominant farming community = seeds, tools, fertilizer demand. (Zone: Rural)",Cold Storage / Agri Warehouse,Dairy / Milk Distribution
Garhwa,Majhiaon,student,Solar / Renewable Energy Dealer,Rural areas with poor grid = solar panel & pump demand. (Zone: Student),Dairy / Milk Distribution,Cold Storage / Agri Warehouse
Garhwa,Meral,student,Solar / Renewable Energy Dealer,Rural areas with poor grid = solar panel & pump demand. (Zone: Student),Dairy / Milk Distribution,Cold Storage / Agri Warehouse
Garhwa,Nagar Untari,industrial,Solar / Renewable Energy Dealer,Rural areas with poor grid = solar panel & pump demand. (Zone: Industrial),Dairy / Milk Distribution,Cold Storage / Agri Warehouse
Chatra,Itkhori,rural,Agri-Input / Kisan Store,"Dominant farming community = seeds, tools, fertilizer demand. (Zone: Rural)",Cold Storage / Agri Warehouse,Solar / Renewable Energy Dealer
Chatra,Kanhachatti,rural,Agri-Input / Kisan Store,"Dominant farming community = seeds, tools, fertilizer demand. (Zone: Rural)",Cold Storage / Agri Warehouse,Solar / Renewable Energy Dealer
Chatra,Pratappur,student,Cloud Kitchen / Tiffin Service,Working youth + mobiles = online food order demand. (Zone: Student),Vocational Trade School,Solar / Renewable Energy Dealer
Chatra,Simaria,student,Cloud Kitchen / Tiffin Service,Working youth + mobiles = online food order demand. (Zone: Student),Vocational Trade School,Solar / Renewable Energy Dealer
Chatra,Tandwa,industrial,Vocational Trade School,Large non-worker youth = demand for job-ready skill training. (Zone: Industrial),Solar / Renewable Energy Dealer,Cold Storage / Agri Warehouse
Kodarma,Jhumri Telaiya,rural,Cloud Kitchen / Tiffin Service,Working youth + mobiles = online food order demand. (Zone: Rural),Micro-Finance / FinTech Kiosk,Mobile Recharge / Electronics Shop
Kodarma,Domchanch,rural,Cloud Kitchen / Tiffin Service,Working youth + mobiles = online food order demand. (Zone: Rural),Micro-Finance / FinTech Kiosk,Mobile Recharge / Electronics Shop
Kodarma,Jainagar,industrial,Logistics / Delivery Hub,E-commerce boom + urban buyers = last-mile delivery gap. (Zone: Industrial),Mobile Recharge / Electronics Shop,Micro-Finance / FinTech Kiosk
Kodarma,Satgawan,industrial,Logistics / Delivery Hub,E-commerce boom + urban buyers = last-mile delivery gap. (Zone: Industrial),Mobile Recharge / Electronics Shop,Micro-Finance / FinTech Kiosk
Godda,Mahagama,rural,Agri-Input / Kisan Store,"Dominant farming community = seeds, tools, fertilizer demand. (Zone: Rural)",Cold Storage / Agri Warehouse,Dairy / Milk Distribution
Godda,Meherma,rural,Agri-Input / Kisan Store,"Dominant farming community = seeds, tools, fertilizer demand. (Zone: Rural)",Cold Storage / Agri Warehouse,Dairy / Milk Distribution
Godda,Pathargama,student,Solar / Renewable Energy Dealer,Rural areas with poor grid = solar panel & pump demand. (Zone: Student),Dairy / Milk Distribution,Agri-Input / Kisan Store
Godda,Poreyahat,student,Solar / Renewable Energy Dealer,Rural areas with poor grid = solar panel & pump demand. (Zone: Student),Dairy / Milk Distribution,Agri-Input / Kisan Store
Godda,Sundarpahari,industrial,Solar / Renewable Energy Dealer,Rural areas with poor grid = solar panel & pump demand. (Zone: Industrial),Dairy / Milk Distribution,Agri-Input / Kisan Store
Sahibganj,Barharwa,rural,Agri-Input / Kisan Store,"Dominant farming community = seeds, tools, fertilizer demand. (Zone: Rural)",Cold Storage / Agri Warehouse,Dairy / Milk Distribution
Sahibganj,Berheit,rural,Agri-Input / Kisan Store,"Dominant farming community = seeds, tools, fertilizer demand. (Zone: Rural)",Cold Storage / Agri Warehouse,Dairy / Milk Distribution
Sahibganj,Borio,industrial,Vocational Trade School,Large non-worker youth = demand for job-ready skill training. (Zone: Industrial),Solar / Renewable Energy Dealer,Dairy / Milk Distribution
Sahibganj,Rajmahal,industrial,Vocational Trade School,Large non-worker youth = demand for job-ready skill training. (Zone: Industrial),Solar / Renewable Energy Dealer,Dairy / Milk Distribution
Sahibganj,Taljhari,student,Vocational Trade School,Large non-worker youth = demand for job-ready skill training. (Zone: Student),Solar / Renewable Energy Dealer,Dairy / Milk Distribution
Pakur,Amrapara,rural,Agri-Input / Kisan Store,"Dominant farming community = seeds, tools, fertilizer demand. (Zone: Rural)",Cold Storage / Agri Warehouse,Dairy / Milk Distribution
Pakur,Hiranpur,rural,Agri-Input / Kisan Store,"Dominant farming community = seeds, tools, fertilizer demand. (Zone: Rural)",Cold Storage / Agri Warehouse,Dairy / Milk Distribution
Pakur,Littipara,industrial,Vocational Trade School,Large non-worker youth = demand for job-ready skill training. (Zone: Industrial),Solar / Renewable Energy Dealer,Dairy / Milk Distribution
Pakur,Maheshpur,industrial,Vocational Trade School,Large non-worker youth = demand for job-ready skill training. (Zone: Industrial),Solar / Renewable Energy Dealer,Dairy / Milk Distribution
Pakur,Pakuria,student,Solar / Renewable Energy Dealer,Rural areas with poor grid = solar panel & pump demand. (Zone: Student),Dairy / Milk Distribution,Vocational Trade School
Dumka,Jama,rural,Dairy / Milk Distribution,Rural livestock households = raw milk supply chain opportunity. (Zone: Rural),Solar / Renewable Energy Dealer,Ayurvedic / Herbal Wellness Center
Dumka,Jarmundi,rural,Dairy / Milk Distribution,Rural livestock households = raw milk supply chain opportunity. (Zone: Rural),Solar / Renewable Energy Dealer,Ayurvedic / Herbal Wellness Center
Dumka,Masalia,student,Ayurvedic / Herbal Wellness Center,Rural communities trust traditional medicine = steady clientele. (Zone: Student),Solar / Renewable Energy Dealer,Dairy / Milk Distribution
Dumka,Ramgarh,student,Ayurvedic / Herbal Wellness Center,Rural communities trust traditional medicine = steady clientele. (Zone: Student),Solar / Renewable Energy Dealer,Dairy / Milk Distribution
Dumka,Shikaripara,industrial,Ayurvedic / Herbal Wellness Center,Rural communities trust traditional medicine = steady clientele. (Zone: Industrial),Solar / Renewable Energy Dealer,Dairy / Milk Distribution
Jamtara,Fatehpur,rural,Agri-Input / Kisan Store,"Dominant farming community = seeds, tools, fertilizer demand. (Zone: Rural)",Cold Storage / Agri Warehouse,Solar / Renewable Energy Dealer
Jamtara,Kundhit,rural,Agri-Input / Kisan Store,"Dominant farming community = seeds, tools, fertilizer demand. (Zone: Rural)",Cold Storage / Agri Warehouse,Solar / Renewable Energy Dealer
Jamtara,Nala,student,Ayurvedic / Herbal Wellness Center,Rural communities trust traditional medicine = steady clientele. (Zone: Student),Solar / Renewable Energy Dealer,Cold Storage / Agri Warehouse
Jamtara,Narayanpur,student,Ayurvedic / Herbal Wellness Center,Rural communities trust traditional medicine = steady clientele. (Zone: Student),Solar / Renewable Energy Dealer,Cold Storage / Agri Warehouse
Ramgarh,Bhurkunda,rural,Restaurant / Dhaba,Urban + disposable income = dining out culture. (Zone: Rural),Logistics / Delivery Hub,Mental Health / Counseling Clinic
Ramgarh,Gola,rural,Restaurant / Dhaba,Urban + disposable income = dining out culture. (Zone: Rural),Logistics / Delivery Hub,Mental Health / Counseling Clinic
Ramgarh,Mandu,industrial,Logistics / Delivery Hub,E-commerce boom + urban buyers = last-mile delivery gap. (Zone: Industrial),Restaurant / Dhaba,Mental Health / Counseling Clinic
Ramgarh,Patratu,industrial,Logistics / Delivery Hub,E-commerce boom + urban buyers = last-mile delivery gap. (Zone: Industrial),Restaurant / Dhaba,Mental Health / Counseling Clinic
Ramgarh,Rajrappa,residential,Gym / Fitness Center,Urban youth with spending power = fitness culture rising. (Zone: Residential),Restaurant / Dhaba,Logistics / Delivery Hub
Khunti,Karra,rural,Agri-Input / Kisan Store,"Dominant farming community = seeds, tools, fertilizer demand. (Zone: Rural)",Dairy / Milk Distribution,Solar / Renewable Energy Dealer
Khunti,Murhu,rural,Agri-Input / Kisan Store,"Dominant farming community = seeds, tools, fertilizer demand. (Zone: Rural)",Dairy / Milk Distribution,Solar / Renewable Energy Dealer
Khunti,Rania,student,Solar / Renewable Energy Dealer,Rural areas with poor grid = solar panel & pump demand. (Zone: Student),Ayurvedic / Herbal Wellness Center,Organic / Local Food Store
Khunti,Torpa,student,Solar / Renewable Energy Dealer,Rural areas with poor grid = solar panel & pump demand. (Zone: Student),Ayurvedic / Herbal Wellness Center,Organic / Local Food Store
Lohardaga,Bhandra,rural,Solar / Renewable Energy Dealer,Rural areas with poor grid = solar panel & pump demand. (Zone: Rural),Ayurvedic / Herbal Wellness Center,Organic / Local Food Store
Lohardaga,Kuru,rural,Solar / Renewable Energy Dealer,Rural areas with poor grid = solar panel & pump demand. (Zone: Rural),Ayurvedic / Herbal Wellness Center,Organic / Local Food Store
Lohardaga,Kisko,student,Coaching / Tuition Center,High youth + literacy = strong tuition demand. (Zone: Student),Spoken English / Soft Skill,Organic / Local Food Store
Lohardaga,Senha,student,Coaching / Tuition Center,High youth + literacy = strong tuition demand. (Zone: Student),Spoken English / Soft Skill,Organic / Local Food Store
Gumla,Basia,rural,Agri-Input / Kisan Store,"Dominant farming community = seeds, tools, fertilizer demand. (Zone: Rural)",Dairy / Milk Distribution,Solar / Renewable Energy Dealer
Gumla,Bishunpur,rural,Agri-Input / Kisan Store,"Dominant farming community = seeds, tools, fertilizer demand. (Zone: Rural)",Dairy / Milk Distribution,Solar / Renewable Energy Dealer
Gumla,Kamdara,student,Ayurvedic / Herbal Wellness Center,Rural communities trust traditional medicine = steady clientele. (Zone: Student),Solar / Renewable Energy Dealer,Organic / Local Food Store
Gumla,Palkot,student,Ayurvedic / Herbal Wellness Center,Rural communities trust traditional medicine = steady clientele. (Zone: Student),Solar / Renewable Energy Dealer,Organic / Local Food Store
Gumla,Raidih,industrial,Ayurvedic / Herbal Wellness Center,Rural communities trust traditional medicine = steady clientele. (Zone: Industrial),Solar / Renewable Energy Dealer,Organic / Local Food Store
Simdega,Bano,rural,Solar / Renewable Energy Dealer,Rural areas with poor grid = solar panel & pump demand. (Zone: Rural),Ayurvedic / Herbal Wellness Center,Organic / Local Food Store
Simdega,Jaldega,rural,Solar / Renewable Energy Dealer,Rural areas with poor grid = solar panel & pump demand. (Zone: Rural),Ayurvedic / Herbal Wellness Center,Organic / Local Food Store
Simdega,Kersai,student,Ayurvedic / Herbal Wellness Center,Rural communities trust traditional medicine = steady clientele. (Zone: Student),Solar / Renewable Energy Dealer,Organic / Local Food Store
Simdega,Kurdeg,student,Ayurvedic / Herbal Wellness Center,Rural communities trust traditional medicine = steady clientele. (Zone: Student),Solar / Renewable Energy Dealer,Organic / Local Food Store
Simdega,Thethaitanger,industrial,Ayurvedic / Herbal Wellness Center,Rural communities trust traditional medicine = steady clientele. (Zone: Industrial),Solar / Renewable Energy Dealer,Organic / Local Food Store
Pashchimi Singhbhum,Chaibasa,rural,Agri-Input / Kisan Store,"Dominant farming community = seeds, tools, fertilizer demand. (Zone: Rural)",Cold Storage / Agri Warehouse,Dairy / Milk Distribution
Pashchimi Singhbhum,Chakradharpur,rural,Agri-Input / Kisan Store,"Dominant farming community = seeds, tools, fertilizer demand. (Zone: Rural)",Cold Storage / Agri Warehouse,Dairy / Milk Distribution
Pashchimi Singhbhum,Jagannathpur,student,Solar / Renewable Energy Dealer,Rural areas with poor grid = solar panel & pump demand. (Zone: Student),Dairy / Milk Distribution,Agri-Input / Kisan Store
Pashchimi Singhbhum,Kiriburu,student,Solar / Renewable Energy Dealer,Rural areas with poor grid = solar panel & pump demand. (Zone: Student),Dairy / Milk Distribution,Agri-Input / Kisan Store
Pashchimi Singhbhum,Noamundi,industrial,Solar / Renewable Energy Dealer,Rural areas with poor grid = solar panel & pump demand. (Zone: Industrial),Dairy / Milk Distribution,Agri-Input / Kisan Store
Saraikela-Kharsawan,Adityapur,rural,Ayurvedic / Herbal Wellness Center,Rural communities trust traditional medicine = steady clientele. (Zone: Rural),Insurance Agency,Diagnostic / Pathology Lab
Saraikela-Kharsawan,Chandil,rural,Ayurvedic / Herbal Wellness Center,Rural communities trust traditional medicine = steady clientele. (Zone: Rural),Insurance Agency,Diagnostic / Pathology Lab
Saraikela-Kharsawan,Gamharia,industrial,Insurance Agency,Literate + income + aging = growing insurance awareness. (Zone: Industrial),Diagnostic / Pathology Lab,Pharmacy / Medical Store
Saraikela-Kharsawan,Kharsawan,industrial,Insurance Agency,Literate + income + aging = growing insurance awareness. (Zone: Industrial),Diagnostic / Pathology Lab,Pharmacy / Medical Store
Latehar,Balumath,rural,Agri-Input / Kisan Store,"Dominant farming community = seeds, tools, fertilizer demand. (Zone: Rural)",Cold Storage / Agri Warehouse,Dairy / Milk Distribution
Latehar,Barwadih,rural,Agri-Input / Kisan Store,"Dominant farming community = seeds, tools, fertilizer demand. (Zone: Rural)",Cold Storage / Agri Warehouse,Dairy / Milk Distribution
Latehar,Chandwa,student,Solar / Renewable Energy Dealer,Rural areas with poor grid = solar panel & pump demand. (Zone: Student),Vocational Trade School,Agri-Input / Kisan Store
Latehar,Mahuadanr,student,Solar / Renewable Energy Dealer,Rural areas with poor grid = solar panel & pump demand. (Zone: Student),Vocational Trade School,Agri-Input / Kisan Store
