District,rank,business,score,reason,Urban_Ratio,Literacy_Rate,Youth_Ratio
Garhwa,1,Solar / Renewable Energy Dealer,0.78,Rural areas with poor grid = solar panel & pump demand.,6.6,49.4,65.1
Garhwa,2,Dairy / Milk Distribution,0.57,Rural livestock households = raw milk supply chain opportunity.,6.6,49.4,65.1
Garhwa,3,Cold Storage / Agri Warehouse,0.49,Perishable farm produce + lack of storage = high-value gap.,6.6,49.4,65.1
Garhwa,4,Agri-Input / Kisan Store,0.48,"Dominant farming community = seeds, tools, fertilizer demand.",6.6,49.4,65.1
Garhwa,5,Ayurvedic / Herbal Wellness Center,0.39,Rural communities trust traditional medicine = steady clientele.,6.6,49.4,65.1
Chatra,1,Vocational Trade School,0.9,Large non-worker youth = demand for job-ready skill training.,6.7,48.9,66.4
Chatra,2,Solar / Renewable Energy Dealer,0.69,Rural areas with poor grid = solar panel & pump demand.,6.7,48.9,66.4
Chatra,3,Cold Storage / Agri Warehouse,0.68,Perishable farm produce + lack of storage = high-value gap.,6.7,48.9,66.4
Chatra,4,Agri-Input / Kisan Store,0.68,"Dominant farming community = seeds, tools, fertilizer demand.",6.7,48.9,66.4
Chatra,5,Cloud Kitchen / Tiffin Service,0.52,Working youth + mobiles = online food order demand.,6.7,48.9,66.4
Kodarma,1,Cloud Kitchen / Tiffin Service,0.87,Working youth + mobiles = online food order demand.,23.0,54.5,64.5
Kodarma,2,Micro-Finance / FinTech Kiosk,0.6,Mobile-literate rural households = digital banking gap.,23.0,54.5,64.5
Kodarma,3,Mobile Recharge / Electronics Shop,0.56,High mobile users + dense population = accessories & recharge demand.,23.0,54.5,64.5
Kodarma,4,Logistics / Delivery Hub,0.56,E-commerce boom + urban buyers = last-mile delivery gap.,23.0,54.5,64.5
Kodarma,5,Restaurant / Dhaba,0.47,Urban + disposable income = dining out culture.,23.0,54.5,64.5
Giridih,1,Mobile Recharge / Electronics Shop,1.28,High mobile users + dense population = accessories & recharge demand.,9.4,51.3,65.3
Giridih,2,Tea Stall / Chai Franchise,0.77,High footfall + labour = scalable low-investment chai business.,9.4,51.3,65.3
Giridih,3,Cloud Kitchen / Tiffin Service,0.7,Working youth + mobiles = online food order demand.,9.4,51.3,65.3
Giridih,4,Dairy / Milk Distribution,0.68,Rural livestock households = raw milk supply chain opportunity.,9.4,51.3,65.3
Giridih,5,Stationery / Printing Shop,0.65,Student-dense areas = constant stationery & printing demand.,9.4,51.3,65.3
Deoghar,1,Tea Stall / Chai Franchise,0.31,High footfall + labour = scalable low-investment chai business.,20.0,53.2,63.3
Deoghar,2,Mobile Recharge / Electronics Shop,0.3,High mobile users + dense population = accessories & recharge demand.,20.0,53.2,63.3
Deoghar,3,Vocational Trade School,0.27,Large non-worker youth = demand for job-ready skill training.,20.0,53.2,63.3
Deoghar,4,Cloud Kitchen / Tiffin Service,0.24,Working youth + mobiles = online food order demand.,20.0,53.2,63.3
Deoghar,5,Micro-Finance / FinTech Kiosk,0.15,Mobile-literate rural households = digital banking gap.,20.0,53.2,63.3
Godda,1,Solar / Renewable Energy Dealer,0.79,Rural areas with poor grid = solar panel & pump demand.,5.3,46.0,62.5
Godda,2,Dairy / Milk Distribution,0.69,Rural livestock households = raw milk supply chain opportunity.,5.3,46.0,62.5
Godda,3,Agri-Input / Kisan Store,0.68,"Dominant farming community = seeds, tools, fertilizer demand.",5.3,46.0,62.5
Godda,4,Cold Storage / Agri Warehouse,0.68,Perishable farm produce + lack of storage = high-value gap.,5.3,46.0,62.5
Godda,5,Ayurvedic / Herbal Wellness Center,0.64,Rural communities trust traditional medicine = steady clientele.,5.3,46.0,62.5
Sahibganj,1,Vocational Trade School,0.14,Large non-worker youth = demand for job-ready skill training.,14.4,42.0,64.8
Sahibganj,2,Solar / Renewable Energy Dealer,0.13,Rural areas with poor grid = solar panel & pump demand.,14.4,42.0,64.8
Sahibganj,3,Dairy / Milk Distribution,0.05,Rural livestock households = raw milk supply chain opportunity.,14.4,42.0,64.8
Sahibganj,4,Cold Storage / Agri Warehouse,0.02,Perishable farm produce + lack of storage = high-value gap.,14.4,42.0,64.8
Sahibganj,5,Agri-Input / Kisan Store,-0.01,"Dominant farming community = seeds, tools, fertilizer demand.",14.4,42.0,64.8
Pakur,1,Solar / Renewable Energy Dealer,0.42,Rural areas with poor grid = solar panel & pump demand.,7.6,39.2,65.3
Pakur,2,Dairy / Milk Distribution,0.12,Rural livestock households = raw milk supply chain opportunity.,7.6,39.2,65.3
Pakur,3,Vocational Trade School,0.03,Large non-worker youth = demand for job-ready skill training.,7.6,39.2,65.3
Pakur,4,Cold Storage / Agri Warehouse,0.02,Perishable farm produce + lack of storage = high-value gap.,7.6,39.2,65.3
Pakur,5,Agri-Input / Kisan Store,-0.03,"Dominant farming community = seeds, tools, fertilizer demand.",7.6,39.2,65.3
Dhanbad,1,Real Estate / Rental Agency,1.81,Urban growth + income = property rental & buying demand.,61.0,64.2,60.9
Dhanbad,2,Mental Health / Counseling Clinic,1.69,Educated urban middle class = awareness + demand for mental health.,61.0,64.2,60.9
Dhanbad,3,Logistics / Delivery Hub,1.6,E-commerce boom + urban buyers = last-mile delivery gap.,61.0,64.2,60.9
Dhanbad,4,Restaurant / Dhaba,1.6,Urban + disposable income = dining out culture.,61.0,64.2,60.9
Dhanbad,5,Pharmacy / Medical Store,1.21,Dense + aging population = high medicine demand.,61.0,64.2,60.9
Bokaro,1,Digital Skill / IT Training,1.53,Graduates + internet access = IT training gap to fill.,50.8,61.8,61.2
Bokaro,2,Real Estate / Rental Agency,1.44,Urban growth + income = property rental & buying demand.,50.8,61.8,61.2
Bokaro,3,Mental Health / Counseling Clinic,1.41,Educated urban middle class = awareness + demand for mental health.,50.8,61.8,61.2
Bokaro,4,Restaurant / Dhaba,1.38,Urban + disposable income = dining out culture.,50.8,61.8,61.2
Bokaro,5,Logistics / Delivery Hub,1.36,E-commerce boom + urban buyers = last-mile delivery gap.,50.8,61.8,61.2
Lohardaga,1,Organic / Local Food Store,0.59,Farm produce surplus + aware consumers = farm-to-table opportunity.,13.2,56.2,64.7
Lohardaga,2,Solar / Renewable Energy Dealer,0.5,Rural areas with poor grid = solar panel & pump demand.,13.2,56.2,64.7
Lohardaga,3,Coaching / Tuition Center,0.39,High youth + literacy = strong tuition demand.,13.2,56.2,64.7
Lohardaga,4,Spoken English / Soft Skill Center,0.32,Young literate urban population = language skill demand.,13.2,56.2,64.7
Lohardaga,5,Ayurvedic / Herbal Wellness Center,0.32,Rural communities trust traditional medicine = steady clientele.,13.2,56.2,64.7
Purbi Singhbhum,1,Digital Skill / IT Training,2.5,Graduates + internet access = IT training gap to fill.,56.6,65.7,56.3
Purbi Singhbhum,2,Pharmacy / Medical Store,1.7,Dense + aging population = high medicine demand.,56.6,65.7,56.3
Purbi Singhbhum,3,Diagnostic / Pathology Lab,1.59,Literate population + aging = demand for preventive diagnostics.,56.6,65.7,56.3
Purbi Singhbhum,4,Mental Health / Counseling Clinic,1.59,Educated urban middle class = awareness + demand for mental health.,56.6,65.7,56.3
Purbi Singhbhum,5,Real Estate / Rental Agency,1.43,Urban growth + income = property rental & buying demand.,56.6,65.7,56.3
Palamu,1,Tea Stall / Chai Franchise,0.72,High footfall + labour = scalable low-investment chai business.,12.8,52.8,64.2
Palamu,2,Mobile Recharge / Electronics Shop,0.63,High mobile users + dense population = accessories & recharge demand.,12.8,52.8,64.2
Palamu,3,Vocational Trade School,0.59,Large non-worker youth = demand for job-ready skill training.,12.8,52.8,64.2
Palamu,4,Dairy / Milk Distribution,0.48,Rural livestock households = raw milk supply chain opportunity.,12.8,52.8,64.2
Palamu,5,Cold Storage / Agri Warehouse,0.47,Perishable farm produce + lack of storage = high-value gap.,12.8,52.8,64.2
Latehar,1,Solar / Renewable Energy Dealer,0.65,Rural areas with poor grid = solar panel & pump demand.,8.8,48.2,66.6
Latehar,2,Vocational Trade School,0.61,Large non-worker youth = demand for job-ready skill training.,8.8,48.2,66.6
Latehar,3,Agri-Input / Kisan Store,0.49,"Dominant farming community = seeds, tools, fertilizer demand.",8.8,48.2,66.6
Latehar,4,Cold Storage / Agri Warehouse,0.48,Perishable farm produce + lack of storage = high-value gap.,8.8,48.2,66.6
Latehar,5,Dairy / Milk Distribution,0.37,Rural livestock households = raw milk supply chain opportunity.,8.8,48.2,66.6
Hazaribagh,1,Mobile Recharge / Electronics Shop,0.92,High mobile users + dense population = accessories & recharge demand.,18.0,58.4,63.8
Hazaribagh,2,Micro-Finance / FinTech Kiosk,0.84,Mobile-literate rural households = digital banking gap.,18.0,58.4,63.8
Hazaribagh,3,Logistics / Delivery Hub,0.74,E-commerce boom + urban buyers = last-mile delivery gap.,18.0,58.4,63.8
Hazaribagh,4,Cloud Kitchen / Tiffin Service,0.7,Working youth + mobiles = online food order demand.,18.0,58.4,63.8
Hazaribagh,5,Restaurant / Dhaba,0.69,Urban + disposable income = dining out culture.,18.0,58.4,63.8
Ramgarh,1,Restaurant / Dhaba,2.13,Urban + disposable income = dining out culture.,46.9,62.8,62.6
Ramgarh,2,Logistics / Delivery Hub,2.0,E-commerce boom + urban buyers = last-mile delivery gap.,46.9,62.8,62.6
Ramgarh,3,Mental Health / Counseling Clinic,1.95,Educated urban middle class = awareness + demand for mental health.,46.9,62.8,62.6
Ramgarh,4,Gym / Fitness Center,1.88,Urban youth with spending power = fitness culture rising.,46.9,62.8,62.6
Ramgarh,5,Real Estate / Rental Agency,1.74,Urban growth + income = property rental & buying demand.,46.9,62.8,62.6
Dumka,1,Ayurvedic / Herbal Wellness Center,0.81,Rural communities trust traditional medicine = steady clientele.,7.1,50.9,60.5
Dumka,2,Solar / Renewable Energy Dealer,0.73,Rural areas with poor grid = solar panel & pump demand.,7.1,50.9,60.5
Dumka,3,Dairy / Milk Distribution,0.6,Rural livestock households = raw milk supply chain opportunity.,7.1,50.9,60.5
Dumka,4,Hospital / Clinic,0.47,Poor sanitation + dense population = critical healthcare gap.,7.1,50.9,60.5
Dumka,5,Organic / Local Food Store,0.47,Farm produce surplus + aware consumers = farm-to-table opportunity.,7.1,50.9,60.5
Jamtara,1,Ayurvedic / Herbal Wellness Center,0.62,Rural communities trust traditional medicine = steady clientele.,10.8,53.9,60.8
Jamtara,2,Solar / Renewable Energy Dealer,0.56,Rural areas with poor grid = solar panel & pump demand.,10.8,53.9,60.8
Jamtara,3,Cold Storage / Agri Warehouse,0.39,Perishable farm produce + lack of storage = high-value gap.,10.8,53.9,60.8
Jamtara,4,Agri-Input / Kisan Store,0.38,"Dominant farming community = seeds, tools, fertilizer demand.",10.8,53.9,60.8
Jamtara,5,Organic / Local Food Store,0.37,Farm produce surplus + aware consumers = farm-to-table opportunity.,10.8,53.9,60.8
Ranchi,1,Digital Skill / IT Training,2.04,Graduates + internet access = IT training gap to fill.,42.4,65.6,59.8
Ranchi,2,Diagnostic / Pathology Lab,1.46,Literate population + aging = demand for preventive diagnostics.,42.4,65.6,59.8
Ranchi,3,Pharmacy / Medical Store,1.29,Dense + aging population = high medicine demand.,42.4,65.6,59.8
Ranchi,4,Real Estate / Rental Agency,1.26,Urban growth + income = property rental & buying demand.,42.4,65.6,59.8
Ranchi,5,Mental Health / Counseling Clinic,1.25,Educated urban middle class = awareness + demand for mental health.,42.4,65.6,59.8
Khunti,1,Solar / Renewable Energy Dealer,0.81,Rural areas with poor grid = solar panel & pump demand.,9.2,53.5,61.5
Khunti,2,Ayurvedic / Herbal Wellness Center,0.8,Rural communities trust traditional medicine = steady clientele.,9.2,53.5,61.5
Khunti,3,Organic / Local Food Store,0.6,Farm produce surplus + aware consumers = farm-to-table opportunity.,9.2,53.5,61.5
Khunti,4,Dairy / Milk Distribution,0.39,Rural livestock households = raw milk supply chain opportunity.,9.2,53.5,61.5
Khunti,5,Agri-Input / Kisan Store,0.39,"Dominant farming community = seeds, tools, fertilizer demand.",9.2,53.5,61.5
Gumla,1,Ayurvedic / Herbal Wellness Center,1.0,Rural communities trust traditional medicine = steady clientele.,7.1,54.6,62.8
Gumla,2,Solar / Renewable Energy Dealer,0.84,Rural areas with poor grid = solar panel & pump demand.,7.1,54.6,62.8
Gumla,3,Organic / Local Food Store,0.76,Farm produce surplus + aware consumers = farm-to-table opportunity.,7.1,54.6,62.8
Gumla,4,Dairy / Milk Distribution,0.65,Rural livestock households = raw milk supply chain opportunity.,7.1,54.6,62.8
Gumla,5,Agri-Input / Kisan Store,0.56,"Dominant farming community = seeds, tools, fertilizer demand.",7.1,54.6,62.8
Simdega,1,Ayurvedic / Herbal Wellness Center,1.32,Rural communities trust traditional medicine = steady clientele.,7.2,57.3,59.7
Simdega,2,Solar / Renewable Energy Dealer,0.92,Rural areas with poor grid = solar panel & pump demand.,7.2,57.3,59.7
Simdega,3,Organic / Local Food Store,0.85,Farm produce surplus + aware consumers = farm-to-table opportunity.,7.2,57.3,59.7
Simdega,4,Insurance Agency,0.54,Literate + income + aging = growing insurance awareness.,7.2,57.3,59.7
Simdega,5,Hospital / Clinic,0.54,Poor sanitation + dense population = critical healthcare gap.,7.2,57.3,59.7
Pashchimi Singhbhum,1,Solar / Renewable Energy Dealer,0.41,Rural areas with poor grid = solar panel & pump demand.,15.8,48.4,64.0
Pashchimi Singhbhum,2,Dairy / Milk Distribution,0.3,Rural livestock households = raw milk supply chain opportunity.,15.8,48.4,64.0
Pashchimi Singhbhum,3,Agri-Input / Kisan Store,0.1,"Dominant farming community = seeds, tools, fertilizer demand.",15.8,48.4,64.0
Pashchimi Singhbhum,4,Cold Storage / Agri Warehouse,0.09,Perishable farm produce + lack of storage = high-value gap.,15.8,48.4,64.0
Pashchimi Singhbhum,5,Organic / Local Food Store,0.06,Farm produce surplus + aware consumers = farm-to-table opportunity.,15.8,48.4,64.0
Saraikela-Kharsawan,1,Insurance Agency,0.43,Literate + income + aging = growing insurance awareness.,24.0,57.6,59.6
Saraikela-Kharsawan,2,Diagnostic / Pathology Lab,0.32,Literate population + aging = demand for preventive diagnostics.,24.0,57.6,59.6
Saraikela-Kharsawan,3,Pharmacy / Medical Store,0.28,Dense + aging population = high medicine demand.,24.0,57.6,59.6
Saraikela-Kharsawan,4,Ayurvedic / Herbal Wellness Center,0.23,Rural communities trust traditional medicine = steady clientele.,24.0,57.6,59.6
Saraikela-Kharsawan,5,Mental Health / Counseling Clinic,0.21,Educated urban middle class = awareness + demand for mental health.,24.0,57.6,59.6
